"pegawai_id","nip","nama_lengkap","jenis_kelamin","umur","kelompok_umur","generasi","tahun_lahir","tahun_masuk","masa_kerja","kelompok_masa_kerja","status_pegawai","jenis_asn","agama","pendidikan","jabatan","jenis_jabatan","golongan","nama_pangkat","instansi","jenis_instansi","provinsi","predikat_kinerja_terakhir","rata_rata_kinerja","jumlah_cuti","pernah_mutasi","tanggal_snapshot"
5775,"196704072004099026","Pandu Saefullah, S.E.",P,59,"51 - 60",Gen X (1965-1980),1967,2004,22,"21 - 25",Pensiun,PNS,Islam,S1,Kepala Subbagian,Struktural,III/d,Penata Tingkat I,Kementerian Hukum dan Hak Asasi Manusia,Pusat,DKI Jakarta,Baik,80.94,6,true,2026-07-08
5776,"198209062019016395",Dacin Sihotang,P,43,"41 - 50",Milenial (1981-1996),1982,2019,7,"6 - 10",Aktif,PNS,Islam,S2,Kepala Dinas,Struktural,III/d,Penata Tingkat I,Pemerintah Provinsi Jambi,Daerah,Jambi,Baik,88.06,6,false,2026-07-08
5777,"199208042017106732",Dr. Indah Dongoran,L,33,"31 - 40",Milenial (1981-1996),1992,2017,9,"6 - 10",Aktif,PPPK,Islam,S1,Pranata Komputer Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Kementerian Kesehatan,Pusat,DKI Jakarta,Cukup,74.57,3,false,2026-07-08
5778,"198004242013118841",Zulaikha Hakim,P,46,"41 - 50",Gen X (1965-1980),1980,2013,13,"11 - 15",Aktif,PNS,Islam,S1,Auditor Ahli Pertama,Fungsional,III/c,Penata,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Sangat Baik,90.36,4,false,2026-07-08
5779,"198702222013069402",Lidya Siregar,L,39,"31 - 40",Milenial (1981-1996),1987,2013,13,"11 - 15",Aktif,PNS,Islam,S1,Analis SDM Aparatur Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Utara,Daerah,Kalimantan Utara,Baik,90.37,4,false,2026-07-08
5780,"198705012019118711",Carla Habibi,P,39,"31 - 40",Milenial (1981-1996),1987,2019,7,"6 - 10",Aktif,PNS,Islam,D3,Dokter,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Papua Barat Daya,Daerah,Papua Barat Daya,Baik,88.90,4,false,2026-07-08
5781,"200111032025115955",R.A. Shania Najmudin,L,24,"21 - 30",Gen Z (1997-2012),2001,2025,1,"1 - 5",Aktif,PPPK,Islam,D3,Statistisi Ahli Pertama,Fungsional,II/a,Pengatur Muda,Kementerian Pertahanan,Pusat,DKI Jakarta,Cukup,79.67,3,true,2026-07-08
5782,"197602182004061282",Baktiadi Hartati,P,50,"41 - 50",Gen X (1965-1980),1976,2004,22,"21 - 25",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,III/a,Penata Muda,Kementerian Hukum dan Hak Asasi Manusia,Pusat,DKI Jakarta,Baik,81.48,5,false,2026-07-08
5783,"200006272026046764",Yosef Adriansyah,P,26,"21 - 30",Gen Z (1997-2012),2000,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Barat,Daerah,Kalimantan Barat,Cukup,76.09,1,false,2026-07-08
5784,"197510022003062794",Rini Pradana,L,50,"41 - 50",Gen X (1965-1980),1975,2003,23,"21 - 25",Aktif,PNS,Islam,S1,Penghulu,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Papua,Daerah,Papua,Baik,82.35,2,false,2026-07-08
5785,"199808172023037414",Rahmi Pudjiastuti,P,27,"21 - 30",Gen Z (1997-2012),1998,2023,3,"1 - 5",Aktif,PNS,Islam,S1,Analis Data,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Barat,Daerah,Nusa Tenggara Barat,Cukup,80.74,3,false,2026-07-08
5786,"197901292021100312",Agnes Pudjiastuti,L,47,"41 - 50",Gen X (1965-1980),1979,2021,5,"1 - 5",Aktif,PNS,Islam,S1,Pengawas Ketenagakerjaan,Fungsional,IV/a,Pembina,Pemerintah Provinsi Sumatera Selatan,Daerah,Sumatera Selatan,Baik,90.26,3,false,2026-07-08
5787,"200301312026050108",Gawati Wijayanti,L,23,"21 - 30",Gen Z (1997-2012),2003,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Penyuluh Pertanian,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Bengkulu,Daerah,Bengkulu,Baik,88.16,0,false,2026-07-08
5788,"199110192014111512",Maman Napitupulu,P,34,"31 - 40",Milenial (1981-1996),1991,2014,12,"11 - 15",Aktif,PNS,Hindu,S1,Apoteker,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Papua Barat Daya,Daerah,Papua Barat Daya,Baik,82.13,3,false,2026-07-08
5789,"199603032020090899",Iriana Pranowo,P,30,"21 - 30",Milenial (1981-1996),1996,2020,6,"6 - 10",Aktif,PNS,Islam,S1,Pengelola Pengadaan Barang/Jasa,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Kalimantan Utara,Daerah,Kalimantan Utara,Cukup,80.85,5,false,2026-07-08
5790,"196702022001035154",drg. Ophelia Yuliarti,P,59,"51 - 60",Gen X (1965-1980),1967,2001,25,"21 - 25",Pensiun,PNS,Islam,S1,Sekretaris,Struktural,III/c,Penata,Pemerintah Provinsi Riau,Daerah,Riau,Baik,81.82,5,false,2026-07-08
5791,"199203012015040469",Cakrawangsa Lazuardi,L,34,"31 - 40",Milenial (1981-1996),1992,2015,11,"11 - 15",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Sulawesi Tenggara,Daerah,Sulawesi Tenggara,Cukup,80.54,7,false,2026-07-08
5792,"197911012023049188",Mulya Siregar,P,46,"41 - 50",Gen X (1965-1980),1979,2023,3,"1 - 5",Aktif,PNS,Islam,S2,Kepala Bidang,Struktural,IV/a,Pembina,Kementerian Badan Usaha Milik Negara,Pusat,DKI Jakarta,Cukup,73.80,5,false,2026-07-08
5793,"196807301995019473",Ciaobella Dongoran,L,57,"51 - 60",Gen X (1965-1980),1968,1995,31,> 30,Pensiun,PNS,Kristen,S2,Sekretaris,Struktural,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sulawesi Utara,Daerah,Sulawesi Utara,Baik,82.73,1,true,2026-07-08
5794,"198710132016095661",Harimurti Permata,L,38,"31 - 40",Milenial (1981-1996),1987,2016,10,"6 - 10",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,III/a,Penata Muda,Pemerintah Provinsi DKI Jakarta,Daerah,DKI Jakarta,Cukup,76.66,1,false,2026-07-08
5795,"199812012025076192",Bakiman Irawan,P,27,"21 - 30",Gen Z (1997-2012),1998,2025,1,"1 - 5",Aktif,PPPK,Islam,S1,Pustakawan Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Maluku Utara,Daerah,Maluku Utara,Sangat Baik,92.14,2,false,2026-07-08
5796,"198902012023043280","Jail Sitompul, S.Pt",P,37,"31 - 40",Milenial (1981-1996),1989,2023,3,"1 - 5",Aktif,PNS,Islam,S1,Perencana Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Kementerian Pertahanan,Pusat,DKI Jakarta,Baik,79.85,3,false,2026-07-08
5797,"200309082025048892","Diah Budiman, M.TI.",P,22,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PNS,Katolik,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Aceh,Daerah,Aceh,Sangat Baik,90.23,2,false,2026-07-08
5798,"198903072017093668",Keisha Waskita,P,37,"31 - 40",Milenial (1981-1996),1989,2017,9,"6 - 10",Aktif,PNS,Islam,S1,Pengawas Ketenagakerjaan,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Nusa Tenggara Timur,Daerah,Nusa Tenggara Timur,Cukup,77.95,3,false,2026-07-08
5799,"198911182018044892","Ciaobella Rahmawati, S.Psi",L,36,"31 - 40",Milenial (1981-1996),1989,2018,8,"6 - 10",Aktif,PNS,Islam,S1,Statistisi Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Hukum dan Hak Asasi Manusia,Pusat,DKI Jakarta,Cukup,78.19,2,false,2026-07-08
5800,"198409122016110767",Bagiya Tamba,P,41,"41 - 50",Milenial (1981-1996),1984,2016,10,"6 - 10",Aktif,PNS,Islam,S2,Sekretaris,Struktural,III/d,Penata Tingkat I,Pemerintah Provinsi Papua Selatan,Daerah,Papua Selatan,Baik,78.58,3,false,2026-07-08
5801,"196709052018086094",Ir. Among Simbolon,P,58,"51 - 60",Gen X (1965-1980),1967,2018,8,"6 - 10",Pensiun,PPPK,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Sangat Baik,90.64,4,false,2026-07-08
5802,"199810182020065181",Sari Hidayanto,P,27,"21 - 30",Gen Z (1997-2012),1998,2020,6,"6 - 10",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Lampung,Daerah,Lampung,Sangat Baik,90.26,6,false,2026-07-08
5803,"197002241995119748","Drs. Cecep Uyainah, S.Farm",L,56,"51 - 60",Gen X (1965-1980),1970,1995,31,> 30,Aktif,PPPK,Islam,S1,Pustakawan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi DKI Jakarta,Daerah,DKI Jakarta,Sangat Baik,90.99,4,false,2026-07-08
5804,"196402212002044909",Uchita Firmansyah,P,62,>60,Baby Boomers (1946-1964),1964,2002,24,"21 - 25",Pensiun,PNS,Islam,S1,Kepala Subbagian,Struktural,III/c,Penata,Pemerintah Provinsi Kep. Bangka Belitung,Daerah,Kep. Bangka Belitung,Baik,82.13,5,false,2026-07-08
5805,"198612172011045481","Ayu Prasetya, M.Kom.",L,39,"31 - 40",Milenial (1981-1996),1986,2011,15,"11 - 15",Aktif,PNS,Kristen,S1,Analis SDM Aparatur Ahli Muda,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Daerah DI Yogyakarta,Daerah,DI Yogyakarta,Cukup,80.50,4,false,2026-07-08
5806,"197801242010115300",Restu Yulianti,P,48,"41 - 50",Gen X (1965-1980),1978,2010,16,"16 - 20",Aktif,PNS,Islam,S1,Sekretaris,Struktural,III/c,Penata,Kementerian Dalam Negeri,Pusat,DKI Jakarta,Cukup,73.87,5,true,2026-07-08
5807,"199106132016101646",Padmi Winarsih,P,35,"31 - 40",Milenial (1981-1996),1991,2016,10,"6 - 10",Aktif,PPPK,Islam,S1,Penghulu,Fungsional,II/a,Pengatur Muda,Kementerian Pertanian,Pusat,DKI Jakarta,Cukup,80.05,2,true,2026-07-08
5808,"199204282023098664",Harsaya Hardiansyah,P,34,"31 - 40",Milenial (1981-1996),1992,2023,3,"1 - 5",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Maluku Utara,Daerah,Maluku Utara,Cukup,74.28,2,false,2026-07-08
5809,"198207092021092726","Mila Firmansyah, S.E.I",L,43,"41 - 50",Milenial (1981-1996),1982,2021,5,"1 - 5",Aktif,PNS,Islam,S2,Analis Kepegawaian Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Kementerian Hukum dan Hak Asasi Manusia,Pusat,DKI Jakarta,Baik,79.77,1,false,2026-07-08
5810,"200009172024089166",Puti Eka Halimah,L,25,"21 - 30",Gen Z (1997-2012),2000,2024,2,"1 - 5",Aktif,PPPK,Islam,S1,Penghulu,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Nusa Tenggara Barat,Daerah,Nusa Tenggara Barat,Baik,83.08,1,false,2026-07-08
5811,"199108152018100591","Drs. Indah Prastuti, S.Pt",L,34,"31 - 40",Milenial (1981-1996),1991,2018,8,"6 - 10",Aktif,PNS,Islam,S1,Penghulu,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Keuangan,Pusat,DKI Jakarta,Baik,85.00,3,false,2026-07-08
5812,"196510051997029043","Estiono Samosir, M.M.",P,60,"51 - 60",Gen X (1965-1980),1965,1997,29,"26 - 30",Pensiun,PNS,Islam,S2,Kepala Dinas,Struktural,III/c,Penata,Pemerintah Provinsi Papua Selatan,Daerah,Papua Selatan,Baik,81.35,6,true,2026-07-08
5813,"197205051999062095",Ir. Karen Wijaya,L,54,"51 - 60",Gen X (1965-1980),1972,1999,27,"26 - 30",Aktif,PNS,Islam,S1,Kepala Bidang,Struktural,III/a,Penata Muda,Pemerintah Daerah DI Yogyakarta,Daerah,DI Yogyakarta,Baik,83.86,5,true,2026-07-08
5814,"200211262024034952",Ganep Laksita,P,23,"21 - 30",Gen Z (1997-2012),2002,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Papua Barat,Daerah,Papua Barat,Baik,82.47,3,true,2026-07-08
5815,"199003152021032883",Garan Wijayanti,L,36,"31 - 40",Milenial (1981-1996),1990,2021,5,"1 - 5",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,III/a,Penata Muda,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Cukup,74.44,4,false,2026-07-08
5816,"197704152009100515",R. Queen Wasita,L,49,"41 - 50",Gen X (1965-1980),1977,2009,17,"16 - 20",Aktif,PNS,Islam,S2,Pranata Komputer Ahli Muda,Fungsional,III/c,Penata,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,89.97,4,false,2026-07-08
5817,"199205312014087807",Wirda Utama,P,34,"31 - 40",Milenial (1981-1996),1992,2014,12,"11 - 15",Aktif,PNS,Kristen,S1,Analis Kepegawaian Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Utara,Daerah,Kalimantan Utara,Baik,83.35,5,false,2026-07-08
5818,"196908272011025602",dr. Jelita Mayasari,L,56,"51 - 60",Gen X (1965-1980),1969,2011,15,"11 - 15",Aktif,PNS,Islam,S2,Kepala Dinas,Struktural,IV/a,Pembina,Pemerintah Daerah DI Yogyakarta,Daerah,DI Yogyakarta,Baik,80.09,1,true,2026-07-08
5819,"199508032024010624",Suci Putra,L,30,"21 - 30",Milenial (1981-1996),1995,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Penyuluh Pertanian,Fungsional,III/a,Penata Muda,Kementerian Luar Negeri,Pusat,DKI Jakarta,Baik,82.43,2,false,2026-07-08
5820,"200104212023082461","R.M. Lulut Hidayanto, S.Kom",P,25,"21 - 30",Gen Z (1997-2012),2001,2023,3,"1 - 5",Aktif,PNS,Islam,S1,Perencana Ahli Pertama,Fungsional,II/a,Pengatur Muda,Kementerian Hukum dan Hak Asasi Manusia,Pusat,DKI Jakarta,Cukup,74.18,4,false,2026-07-08
5821,"197204202026070272",Irfan Januar,P,54,"51 - 60",Gen X (1965-1980),1972,2026,0,"1 - 5",Aktif,PNS,Islam,S3,Kepala Subbagian,Struktural,IV/b,Pembina Tingkat I,Pemerintah Provinsi Kalimantan Timur,Daerah,Kalimantan Timur,Cukup,74.96,1,false,2026-07-08
5822,"197610272007086056",Drs. Cinta Kusmawati,L,49,"41 - 50",Gen X (1965-1980),1976,2007,19,"16 - 20",Aktif,PPPK,Islam,S2,Kepala Bidang,Struktural,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sulawesi Barat,Daerah,Sulawesi Barat,Cukup,78.29,5,true,2026-07-08
5823,"199005232017018805","R. Jayadi Utami, S.Ked",P,36,"31 - 40",Milenial (1981-1996),1990,2017,9,"6 - 10",Aktif,PNS,Kristen,S1,Pranata Komputer Ahli Muda,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Bengkulu,Daerah,Bengkulu,Cukup,73.24,3,false,2026-07-08
5824,"197810032009069536",Jati Mandala,L,47,"41 - 50",Gen X (1965-1980),1978,2009,17,"16 - 20",Aktif,PNS,Islam,S1,Kepala Bidang,Struktural,III/b,Penata Muda Tingkat I,Kementerian Agama,Pusat,DKI Jakarta,Baik,83.78,2,false,2026-07-08
5825,"197412152006087774","R.A. Yunita Wacana, M.Ak",P,51,"51 - 60",Gen X (1965-1980),1974,2006,20,"16 - 20",Aktif,PNS,Islam,S1,Kepala Subbagian,Struktural,III/d,Penata Tingkat I,Kementerian Dalam Negeri,Pusat,DKI Jakarta,Cukup,78.75,4,false,2026-07-08
5826,"200105012026010778",Darmaji Rahayu,P,25,"21 - 30",Gen Z (1997-2012),2001,2026,0,"1 - 5",Aktif,PPPK,Islam,S1,Analis SDM Aparatur Ahli Muda,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,82.06,0,false,2026-07-08
5827,"197704032024087577",Usyi Namaga,L,49,"41 - 50",Gen X (1965-1980),1977,2024,2,"1 - 5",Aktif,PNS,Katolik,S2,Sekretaris,Struktural,III/d,Penata Tingkat I,Pemerintah Provinsi Sulawesi Tenggara,Daerah,Sulawesi Tenggara,Baik,83.89,3,false,2026-07-08
5828,"196809042017127497",Yessi Saptono,L,57,"51 - 60",Gen X (1965-1980),1968,2017,9,"6 - 10",Aktif,PNS,Islam,S1,Penghulu,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi DKI Jakarta,Daerah,DKI Jakarta,Cukup,76.02,2,false,2026-07-08
5829,"199707222020081022",drg. Vanya Mandala,L,28,"21 - 30",Gen Z (1997-2012),1997,2020,6,"6 - 10",Aktif,PNS,Islam,S1,Penghulu,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,81.73,7,false,2026-07-08
5830,"199711262025040307",Jelita Usamah,L,28,"21 - 30",Gen Z (1997-2012),1997,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Perencana Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Kementerian Kesehatan,Pusat,DKI Jakarta,Sangat Baik,90.99,2,false,2026-07-08
5831,"199811032021072601","Maida Nasyidah, S.E.I",L,27,"21 - 30",Gen Z (1997-2012),1998,2021,5,"1 - 5",Aktif,PPPK,Islam,S1,Penghulu,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Sulawesi Tenggara,Daerah,Sulawesi Tenggara,Baik,82.51,3,false,2026-07-08
5832,"197605272018081915",dr. Septi Laksita,P,50,"41 - 50",Gen X (1965-1980),1976,2018,8,"6 - 10",Aktif,PPPK,Islam,S1,Analis SDM Aparatur Ahli Muda,Fungsional,IV/a,Pembina,Pemerintah Aceh,Daerah,Aceh,Sangat Baik,93.13,2,false,2026-07-08
5833,"200311132025092529",Jamalia Iswahyudi,P,22,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Kalimantan Selatan,Daerah,Kalimantan Selatan,Baik,80.77,3,false,2026-07-08
5834,"199404102022118908",Ir. Ayu Suartini,P,32,"31 - 40",Milenial (1981-1996),1994,2022,4,"1 - 5",Aktif,PPPK,Islam,S1,Penghulu,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sumatera Selatan,Daerah,Sumatera Selatan,Baik,84.23,7,false,2026-07-08
5835,"197708102008038699",Laswi Widiastuti,L,48,"41 - 50",Gen X (1965-1980),1977,2008,18,"16 - 20",Aktif,PPPK,Islam,S1,Kepala Subbagian,Struktural,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Papua Tengah,Daerah,Papua Tengah,Baik,79.87,6,true,2026-07-08
5836,"198207312016075032",Usyi Narpati,L,43,"41 - 50",Milenial (1981-1996),1982,2016,10,"6 - 10",Aktif,PNS,Islam,S2,Dokter,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Jawa Tengah,Daerah,Jawa Tengah,Baik,82.21,3,true,2026-07-08
5837,"197909042015051220","Tgk. Lala Saefullah, M.Ak",P,46,"41 - 50",Gen X (1965-1980),1979,2015,11,"11 - 15",Aktif,PNS,Islam,S1,Penghulu,Fungsional,III/d,Penata Tingkat I,Kementerian Luar Negeri,Pusat,DKI Jakarta,Cukup,82.17,3,false,2026-07-08
5838,"199702072024080674",Kala Nurdiyanti,P,29,"21 - 30",Gen Z (1997-2012),1997,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Analis Data,Fungsional,III/a,Penata Muda,Kementerian Ketenagakerjaan,Pusat,DKI Jakarta,Baik,80.63,2,false,2026-07-08
5839,"200209282024106769",Kamila Maheswara,P,23,"21 - 30",Gen Z (1997-2012),2002,2024,2,"1 - 5",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Kalimantan Timur,Daerah,Kalimantan Timur,Cukup,80.98,4,false,2026-07-08
5840,"196902151996018020","Drs. Ratih Marbun, M.TI.",P,57,"51 - 60",Gen X (1965-1980),1969,1996,30,"26 - 30",Aktif,PNS,Islam,S1,Statistisi Ahli Pertama,Fungsional,III/a,Penata Muda,Kementerian Badan Usaha Milik Negara,Pusat,DKI Jakarta,Sangat Baik,91.17,4,false,2026-07-08
5841,"197705162014025588","Ir. Kayun Hassanah, S.H.",P,49,"41 - 50",Gen X (1965-1980),1977,2014,12,"11 - 15",Aktif,PNS,Islam,S1,Analis Data,Fungsional,III/c,Penata,Pemerintah Provinsi Jawa Barat,Daerah,Jawa Barat,Cukup,74.49,6,false,2026-07-08
5842,"197708102010112348",Usyi Namaga,L,48,"41 - 50",Gen X (1965-1980),1977,2010,16,"16 - 20",Aktif,PNS,Islam,S1,Statistisi Ahli Pertama,Fungsional,III/c,Penata,Pemerintah Provinsi Papua Tengah,Daerah,Papua Tengah,Sangat Baik,90.84,5,false,2026-07-08
5843,"200112272023096385","Gandi Permata, M.Pd",L,24,"21 - 30",Gen Z (1997-2012),2001,2023,3,"1 - 5",Aktif,PNS,Islam,D3,Pengawas Ketenagakerjaan,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Bali,Daerah,Bali,Kurang,71.06,2,true,2026-07-08
5844,"197210132002078479","Rachel Yuniar, M.Ak",L,53,"51 - 60",Gen X (1965-1980),1972,2002,24,"21 - 25",Aktif,PNS,Islam,S1,Pengelola Pengadaan Barang/Jasa,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Nusa Tenggara Barat,Daerah,Nusa Tenggara Barat,Cukup,81.17,4,false,2026-07-08
5845,"200306052025017576",Vero Saragih,L,23,"21 - 30",Gen Z (1997-2012),2003,2025,1,"1 - 5",Aktif,PNS,Islam,S1,Penyuluh Pertanian,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Baik,89.50,1,false,2026-07-08
5846,"196608291989051401",Hj. Rahayu Wijaya,L,59,"51 - 60",Gen X (1965-1980),1966,1989,37,> 30,Pensiun,PPPK,Katolik,S1,Kepala Subbagian,Struktural,II/a,Pengatur Muda,Pemerintah Provinsi Jawa Timur,Daerah,Jawa Timur,Cukup,76.75,5,false,2026-07-08
5847,"198608032013024368",Tania Lazuardi,L,39,"31 - 40",Milenial (1981-1996),1986,2013,13,"11 - 15",Aktif,PNS,Katolik,S1,Pengawas Ketenagakerjaan,Fungsional,III/a,Penata Muda,Pemerintah Provinsi Papua Barat Daya,Daerah,Papua Barat Daya,Cukup,80.64,5,false,2026-07-08
5848,"198411292024110376",Wawan Firgantoro,P,41,"41 - 50",Milenial (1981-1996),1984,2024,2,"1 - 5",Aktif,PNS,Islam,S2,Analis Kepegawaian Ahli Pertama,Fungsional,III/d,Penata Tingkat I,Pemerintah Daerah DI Yogyakarta,Daerah,DI Yogyakarta,Baik,80.95,4,false,2026-07-08
5849,"199501142018123916",Najwa Mangunsong,P,31,"31 - 40",Milenial (1981-1996),1995,2018,8,"6 - 10",Aktif,PNS,Islam,S2,Penghulu,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Sumatera Barat,Daerah,Sumatera Barat,Baik,82.10,4,false,2026-07-08
5850,"197610152009058385",Erik Prakasa,P,49,"41 - 50",Gen X (1965-1980),1976,2009,17,"16 - 20",Aktif,PNS,Islam,S2,Penghulu,Fungsional,III/d,Penata Tingkat I,Pemerintah Aceh,Daerah,Aceh,Baik,89.45,4,false,2026-07-08
5851,"199702272026041091",KH. Lantar Prastuti,P,29,"21 - 30",Gen Z (1997-2012),1997,2026,0,"1 - 5",Aktif,PPPK,Islam,S2,Analis Kepegawaian Ahli Pertama,Fungsional,III/a,Penata Muda,Kementerian Kesehatan,Pusat,DKI Jakarta,Baik,89.43,0,false,2026-07-08
5852,"199101132019023475","Puti Mala Yuliarti, S.Kom",L,35,"31 - 40",Milenial (1981-1996),1991,2019,7,"6 - 10",Aktif,PPPK,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Sulawesi Barat,Daerah,Sulawesi Barat,Cukup,74.13,4,false,2026-07-08
5853,"196910211992101631",Queen Anggriawan,P,56,"51 - 60",Gen X (1965-1980),1969,1992,34,> 30,Pensiun,PPPK,Islam,S1,Analis Kebijakan Ahli Muda,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Papua Selatan,Daerah,Papua Selatan,Cukup,74.93,3,true,2026-07-08
5854,"198908202019092762",Gamani Irawan,P,36,"31 - 40",Milenial (1981-1996),1989,2019,7,"6 - 10",Aktif,PNS,Islam,S1,Pranata Komputer Ahli Pertama,Fungsional,III/b,Penata Muda Tingkat I,Pemerintah Provinsi Papua Barat,Daerah,Papua Barat,Sangat Baik,89.41,6,false,2026-07-08
5855,"199709222023037418","Dr. Ozy Saptono, M.Farm",L,28,"21 - 30",Gen Z (1997-2012),1997,2023,3,"1 - 5",Aktif,PNS,Islam,S1,Arsiparis Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Aceh,Daerah,Aceh,Cukup,79.60,4,false,2026-07-08
5856,"197506102019073858","Tgk. Novi Dongoran, S.Gz",L,51,"51 - 60",Gen X (1965-1980),1975,2019,7,"6 - 10",Aktif,PNS,Kristen,S1,Penghulu,Fungsional,III/d,Penata Tingkat I,Pemerintah Provinsi Kepulauan Riau,Daerah,Kepulauan Riau,Sangat Baik,89.38,4,false,2026-07-08
5857,"200402022026075179",Hj. Janet Putra,L,22,"21 - 30",Gen Z (1997-2012),2004,2026,0,"1 - 5",Aktif,PNS,Islam,S1,Analis Kebijakan Ahli Pertama,Fungsional,II/b,Pengatur Muda Tingkat I,Pemerintah Provinsi Papua,Daerah,Papua,Baik,83.92,2,false,2026-07-08
5858,"197507271998018837","Tgk. Daliono Suwarno, S.T.",P,50,"41 - 50",Gen X (1965-1980),1975,1998,28,"26 - 30",Aktif,PNS,Islam,S1,Kepala Dinas,Struktural,II/a,Pengatur Muda,Kementerian Keuangan,Pusat,DKI Jakarta,Baik,81.54,5,true,2026-07-08
5859,"199009152016106218",Paulin Andriani,L,35,"31 - 40",Milenial (1981-1996),1990,2016,10,"6 - 10",Aktif,PNS,Islam,S2,Analis Data,Fungsional,II/a,Pengatur Muda,Pemerintah Provinsi Kalimantan Timur,Daerah,Kalimantan Timur,Sangat Baik,92.26,5,false,2026-07-08
